cm1,intensity
0.0,8.742316995055777e-05
1.0,8.808606568129315e-05
2.0,8.876501923639852e-05
3.0,8.946065232219667e-05
4.0,9.017361809553766e-05
5.0,9.090460311158538e-05
6.0,9.165432941430038e-05
7.0,9.242355678170851e-05
8.0,9.321308513920516e-05
9.0,9.40237571554378e-05
10.0,9.485646103674052e-05
11.0,9.571213353768199e-05
12.0,9.659176320705797e-05
13.0,9.749639389062386e-05
14.0,9.842712851405604e-05
15.0,9.93851331720753e-05
16.0,0.000100371641552396
17.0,0.00010138795972622137
18.0,0.00010243547134042079
19.0,0.00010351564325036595
20.0,0.00010463003163670243
21.0,0.00010578028865417789
22.0,0.00010696816966609412
23.0,0.00010819554112409856
24.0,0.00010946438915996422
25.0,0.00011077682896385426
26.0,0.00011213511503245517
27.0,0.00011354165238044008
28.0,0.0001149990088201813
29.0,0.00011650992842767363
30.0,0.0001180773463274993
31.0,0.00011970440494666132
32.0,0.00012139447190656582
33.0,0.00012315115974475516
34.0,0.0001249783476836562
35.0,0.00012688020569318805
36.0,0.00012886122112824768
37.0,0.00013092622826168667
38.0,0.00013308044107940227
39.0,0.0001353294897577928
40.0,0.00013767946130656568
41.0,0.00014013694493352624
42.0,0.0001427090827747572
43.0,0.00014540362673619292
44.0,0.0001482290023141494
45.0,0.00015119438040624752
46.0,0.0001543097582930502
47.0,0.00015758605116404043
48.0,0.00016103519576851427
49.0,0.0001646702679541466
50.0,0.00016850561590595138
51.0,0.00017255701055026595
52.0,0.00017684181326576353
53.0,0.00018137915778861978
54.0,0.00018619013763611779
55.0,0.00019129798801272965
56.0,0.00019672827678690526
57.0,0.00020250921220033193
58.0,0.00020867226352942303
59.0,0.00021525306427736267
60.0,0.0002222921201186617
61.0,0.00022983509838099108
62.0,0.00023793316705348697
63.0,0.0002466437552317034
64.0,0.00025603166220899976
65.0,0.00026617037704890944
66.0,0.000277143593253938
67.0,0.00028904697773380293
68.0,0.00030199027629455725
69.0,0.0003160998495424919
70.0,0.00033152175036025065
71.0,0.0003484254808367672
72.0,0.000367008604201152
73.0,0.0003875024383475848
74.0,0.0004101791260288908
75.0,0.0004353604688730634
76.0,0.0004634290368585347
77.0,0.0004948422343289859
78.0,0.0005301502359387947
79.0,0.0005700190267108863
80.0,0.0006152602264405244
81.0,0.0006668700029019774
82.0,0.0007260802567254651
83.0,0.0007944265019099807
84.0,0.0008738386222015511
85.0,0.0009667631624509636
86.0,0.0010763292792824323
87.0,0.001206575211568621
88.0,0.0013627582992365838
89.0,0.001551778774023665
90.0,0.0017827535822279202
91.0,0.002067774247163413
92.0,0.0024228522495999107
93.0,0.0028689448537139238
94.0,0.003432638652506096
95.0,0.004145273396362022
96.0,0.005037529455979974
97.0,0.006123407117107589
98.0,0.007365004676400392
99.0,0.008618153592318486
100.0,0.00960038921923731
101.0,0.009978803938803165
102.0,0.009597034759251043
103.0,0.008613282998326728
104.0,0.007360778189197331
105.0,0.006121197625522827
106.0,0.005037860487603565
107.0,0.004148176193881378
108.0,0.003437951480912441
109.0,0.002876467769728572
110.0,0.0024324070861922783
111.0,0.0020792201451657073
112.0,0.0017959856432457483
113.0,0.0015667218877895512
114.0,0.0013793606574806067
115.0,0.001224802876089723
116.0,0.0010961620041011991
117.0,0.0009881913018111614
118.0,0.0008968608842769507
119.0,0.0008190483323925397
120.0,0.0007523126828831279
121.0,0.0006947288125129645
122.0,0.0006447653909452586
123.0,0.0006011943039378692
124.0,0.000563022906539981
125.0,0.0005294429394323758
126.0,0.0004997916939285997
127.0,0.00047352224950552836
128.0,0.0004501804842175755
129.0,0.00042938718122635623
130.0,0.0004108239997871167
131.0,0.000394222399161953
132.0,0.00037935483577398636
133.0,0.00036602772303584175
134.0,0.0003540757675526756
135.0,0.0003433573873767836
136.0,0.00033375098655975566
137.0,0.0003251519117298107
138.0,0.0003174699553442351
139.0,0.00031062729989551083
140.0,0.00030455682005636184
141.0,0.00029920067726774407
142.0,0.00029450915488146636
143.0,0.0002904396926121256
144.0,0.0002869560874379014
145.0,0.0002840278347476891
146.0,0.00028162958886558724
147.0,0.000279740726400434
148.0,0.00027834499940526366
149.0,0.00027743026827460886
150.0,0.00027698830680352495
151.0,0.00027701467400009826
152.0,0.0002775086491819901
153.0,0.0002784732286825844
154.0,0.000279915184220445
155.0,0.0002818451847201612
156.0,0.0002842779851869014
157.0,0.0002872326882096471
158.0,0.0002907330858873728
159.0,0.00029480809254179435
160.0,0.00029949228162523414
161.0,0.00030482654390872645
162.0,0.0003108588885418092
163.0,0.0003176454141664046
164.0,0.00032525148427477705
165.0,0.0003337531498622509
166.0,0.0003432388737177951
167.0,0.0003538116251928247
168.0,0.0003655914330308131
169.0,0.00037871850823711044
170.0,0.0003933570809430498
171.0,0.0004097001374134962
172.0,0.0004279752994181103
173.0,0.00044845216322587385
174.0,0.00047145151663053415
175.0,0.0004973569897507035
176.0,0.0005266298831862151
177.0,0.0005598281758909606
178.0,0.00059763107415495
179.0,0.0006408709645272536
180.0,0.0006905753379683338
181.0,0.0007480222467562385
182.0,0.0008148142623903251
183.0,0.0008929778910772466
184.0,0.0009850981944353658
185.0,0.0010945022131176544
186.0,0.0012255099051575674
187.0,0.0013837775620945075
188.0,0.0015767648038883164
189.0,0.0018143578128363084
190.0,0.0021096654684708044
191.0,0.0024799371276924913
192.0,0.0029473459436647636
193.0,0.003538846357474492
194.0,0.004283073126445533
195.0,0.0051998467485112705
196.0,0.006274925525140123
197.0,0.007415346603563081
198.0,0.008406526085087592
199.0,0.00894664457205201
200.0,0.008821387656466626
201.0,0.008083743006070522
202.0,0.007006047186642961
203.0,0.005871496056748465
204.0,0.004848359946023115
205.0,0.003995053106461386
206.0,0.003309315191101178
207.0,0.0027661737383103692
208.0,0.0023369089078232484
209.0,0.0019961584082452922
210.0,0.0017235897241317016
211.0,0.0015035587205903093
212.0,0.0013242247362440544
213.0,0.0011766624649546381
214.0,0.0010541277948337196
215.0,0.0009514945122195446
216.0,0.0008648359137383893
217.0,0.000791118163310457
218.0,0.0007279763280318885
219.0,0.0006735504841457013
220.0,0.0006263651829764465
221.0,0.0005852402108540793
222.0,0.0005492240142392255
223.0,0.0005175436332120519
224.0,0.0004895667415066835
225.0,0.0004647726318255122
226.0,0.0004427298624833456
227.0,0.0004230789039714126
228.0,0.00040551856806393677
229.0,0.00038979532077434813
230.0,0.0003756948107585372
231.0,0.0003630351123759877
232.0,0.0003516613055142211
233.0,0.00034144110505854005
234.0,0.0003322613204407695
235.0,0.00032402497634415994
236.0,0.0003166489638938942
237.0,0.00031006212077679964
238.0,0.00030420366107009836
239.0,0.00029902189284288
240.0,0.0002944731750977543
241.0,0.0002905210762907678
242.0,0.00028713570521793835
243.0,0.00028429319203093057
244.0,0.0002819753029662028
245.0,0.00028016917738015986
246.0,0.0002788671801586996
247.0,0.0002780668667586273
248.0,0.00027777106226934827
249.0,0.00027798806018508327
250.0,0.00027873195129772863
251.0,0.00028002309854368765
252.0,0.0002818887801120869
253.0,0.00028436403108803737
254.0,0.00028749272393979833
255.0,0.00029132894103332016
256.0,0.00029593870911680676
257.0,0.00030140218779701653
258.0,0.00030781643341908316
259.0,0.00031529889924829176
260.0,0.00032399188636268007
261.0,0.0003340682327732031
262.0,0.00034573862895008483
263.0,0.0003592610875595166
264.0,0.00037495329020957477
265.0,0.0003932088079535972
266.0,0.00041451857895104954
267.0,0.0004394995737308095
