frequency_cm1,intensity
3.7148158796719377,0.0
1.5209041942391712,0.0
3.394848860063035e-05,0.0
2.7849719101450133e-05,0.0
4.063762016760352e-05,0.0
0.3231964436296774,0.0
57.81131866301537,5.771999779889563e-09
100.99679739944251,0.0030489174150557775
199.31902795815245,0.002731056786259877
284.2757948846342,0.0010460953547667623
319.6957989562894,0.00010141354929240102
334.5968127159579,5.316745346640257e-06
432.20013952794227,4.419943302748557e-09
492.6113426781949,0.008282441766185204
534.4093322927242,0.0014606531754549552
548.0559787356867,0.019025015077794694
641.1996462991525,0.0005926074280943579
699.1029816821801,0.00763296369707168
754.8276640879227,0.0006344156797956853
785.3131017528914,0.026849466360121355
867.7871187707615,1.7344699511062518e-08
883.2954003324096,0.06374149619538633
886.6317760351113,0.031016309786602716
991.9671620528793,0.0001631229502501856
1021.0958092754526,7.60552332617087e-08
1042.6685870824404,0.017381602363386244
1131.3716286201966,0.05337861339602319
1134.2573030876038,0.006705151015812357
1157.5383035048535,0.03646850904487597
1207.1210499691035,1.3982331977855117e-05
1311.6592444148669,0.01407215932621623
1334.3864718661157,0.007529420933602061
1442.574924064755,0.3097892495739053
1450.6422760032376,0.001804838700657748
1534.528399268377,0.037926584169687506
1638.122464294311,0.2017019624856729
1659.912423698062,0.05655248306256627
1693.1901445462913,0.13647404460489349
3228.61728984056,0.0018654946897858362
3228.7658615610817,0.0001514069112123826
3243.783176532455,0.0012725544571613458
3245.393300800453,0.004523463261427505
